epoch,step,train_loss,train_dpos,train_dneg,val_loss,val_dpos,val_dneg
1,66,0.7290057287071691,0.9723336696624756,0.9724205344012289,0.7238494381904602,0.967069049835205,0.9664534211158753
2,132,0.7231753965218862,0.9648374969309027,0.9649834172292189,0.7235636940002441,0.9645171418190003,0.9641955137252808
3,198,0.7232567324782863,0.9643036569609786,0.9643618319973801,0.7233240690231323,0.9631569347381592,0.9630686740875244
4,264,0.7231151967337637,0.9645019859978647,0.9646776625604341,0.7228642525672913,0.960492169380188,0.9609768123626709
5,330,0.7231171049854972,0.9644467026898356,0.9647450907663866,0.7229260263442994,0.9626427559852601,0.9630365018844604
6,396,0.7235786896763425,0.9646440247694651,0.9644134839375814,0.7231518707275391,0.9624634027481079,0.9625406823158265
7,462,0.7232055835651628,0.9643737836317583,0.9644519524140791,0.723022304058075,0.9673797774314881,0.9676070494651794
8,528,0.7235379959597732,0.9647611596367576,0.9644708389585669,0.7232872729301453,0.9682018704414368,0.9681721830368042
9,594,0.7232861166650598,0.9644792874654134,0.9644783310817949,0.7232789311408997,0.9679962034225464,0.9679511742591858
10,660,0.7233139132008408,0.9643118173787089,0.9642598249695518,0.7233446440696716,0.962240788936615,0.9621184301376343
11,726,0.723253155296499,0.9645061032338575,0.9645173369031964,0.7232912378311157,0.9615035266876221,0.961443196296692
12,792,0.7234979380260814,0.9644773683764718,0.9642266784653519,0.7232135725021362,0.9658540244102478,0.9658592104911804
13,858,0.7231720171191476,0.9643512025023951,0.9644252242464008,0.7233490829467774,0.9618733878135681,0.9617468838691712
14,924,0.7231907528458219,0.9643006884690487,0.9643736978371938,0.7231430006027222,0.962898699760437,0.9629781861305237
15,990,0.723258786129229,0.9642764420220347,0.9642867102767482,0.7231779646873474,0.9630791788101196,0.9631206927299499
16,1056,0.7233143746852875,0.964348085901954,0.9643064701195919,0.7229087958335877,0.9647411088943482,0.9650634775161743
17,1122,0.7229684510014274,0.9642108913623926,0.9645506757678408,0.7231110382080078,0.9615338401794433,0.9616539573669434
18,1188,0.7227546762336384,0.9640446395585032,0.9646505830865918,0.7228784766197205,0.9632401161193848,0.96359681224823
19,1254,0.7233017059889707,0.9643402162826422,0.9645027536334414,0.7232374501228332,0.9688778619766235,0.9688851795196534
20,1320,0.7234921103174036,0.9643346992405978,0.9641900703762517,0.7231455335617065,0.9671164741516113,0.9672007565498352
1,871,0.637289787885379,0.8489057514068042,1.0325332453001792,0.6008281980645224,0.799873278851746,1.0376841201906246
2,1742,0.6240587213967342,0.8316018433576337,1.0422411741673878,0.6034623298020154,0.7998993168198375,1.0294914505568373
3,2613,0.6202482982836963,0.826387468900801,1.0454023485205615,0.5969111356448237,0.8280734972740738,1.0489785959021811
4,3484,0.6158691741500465,0.8207119066186942,1.049221074403222,0.5883856852398828,0.8053850988301884,1.085750530584131
5,4355,0.6124340947610503,0.8160566337209892,1.0519830986224414,0.589312945337604,0.8017878501206169,1.0646524069586687
6,5226,0.6098320395541382,0.811981779836486,1.0541553276962035,0.6006082491542387,0.7903587205404439,1.0196787384439603
7,6097,0.6046011082819491,0.8067195854833014,1.0586021773166416,0.6052660179877528,0.8440940092507503,1.0586289505276452
8,6968,0.603642646432881,0.8049860983300018,1.0596487288770664,0.5894992767711129,0.7825548372573954,1.0815939168685196
9,7839,0.5976479025097857,0.7971686865240507,1.063624162487814,0.6092406711645149,0.78113597440656,0.9975569218983448
10,8710,0.592922532017825,0.7908363572902438,1.065839006076861,0.6333111603286276,0.8303562946103342,1.029859621988292
11,9581,0.5901090734724883,0.7873016747760444,1.069196131076112,0.5883572600650246,0.7543480681275956,1.0206319134248898
12,10452,0.5692361741060504,0.7635015241040428,1.085071072170573,0.590679051399867,0.740346456277605,1.0288100195710124
13,11323,0.5366695637202017,0.724495922520021,1.113439381259454,0.6027001198350131,0.8405781936828356,1.1330768393452624
14,12194,0.4975110704740071,0.6779558287696094,1.1524396826834957,0.5147096078548482,0.6658695172611655,1.1296187490970144
15,13065,0.45955180471718104,0.6412655508271862,1.1761697465051328,0.48819363438196683,0.6786868585948747,1.1890088926358555
16,13936,0.43373339345206074,0.6189584553104864,1.1970538089798184,0.49957494151993725,0.7151708434565379,1.2068199044507757
17,14807,0.40849734464688087,0.6003262012615269,1.2199168906009292,0.4437442959229443,0.6729961248706603,1.2470571523350293
18,15678,0.37883740834609514,0.5870844092900115,1.2427392300179851,0.42523903788507444,0.6765222514061262,1.281503296566232
19,16549,0.3534109455401807,0.574838273252877,1.26191717844743,0.43933660308692246,0.710720890917433,1.2573096338372582
20,17420,0.33091942918081646,0.559564561575617,1.283397978537392,0.43426406524625766,0.7070545803590312,1.2720118372310754
