epoch,step,train_loss,train_dpos,train_dneg,val_loss,val_dpos,val_dneg
1,990,0.3229128025095872,0.6448574270262862,0.6448312773849025,0.32146036588228666,0.6427821858723959,0.6427567630547744
2,1980,0.3214356501897176,0.6428513089213709,0.6428680555989044,0.3214482818505703,0.6413394451752688,0.6413226157579667
3,2970,0.3214378071854813,0.6428661396407118,0.6428558774668761,0.32142948719171377,0.6425820786525042,0.6425811906961294
4,3960,0.3214350682617438,0.6428579768749199,0.6428598654992652,0.3214386674991021,0.6442260483595041,0.6442203872020428
5,4950,0.32143131584832163,0.6428552420452388,0.6428616433432608,0.3214994112650553,0.6483375837864019,0.6483255935326601
6,5940,0.3214358355962869,0.6428636838089336,0.6428678619741189,0.3214529348948063,0.642521911584414,0.6425035507251055
7,6930,0.3214361339205443,0.6428551948431767,0.642862282557921,0.3214309235719534,0.64331137913924,0.6433120728761722
8,7920,0.32142962413002746,0.6428466378438352,0.6428661782332141,0.3214473839295216,0.6438828852849129,0.6439355763410911
9,8910,0.320522019839046,0.6409297005094663,0.6441958559281898,0.3156096911736024,0.5987120413780213,0.6250211980403998
10,9900,0.27787959235485155,0.5584002936428244,0.6988012271096008,0.27021076642549957,0.5506145669252445,0.7350268894586808
11,10890,0.23717940904275336,0.4933155760921613,0.7532147335885752,0.24860452975982275,0.5077070936789879,0.7451178102004222
12,11880,0.21256145892119166,0.4687417802184519,0.7850567738215128,0.2279105480817648,0.5019672709550613,0.7864293199319106
13,12870,0.19513886852396858,0.45236222286417027,0.8073541351641067,0.22685486655968887,0.514235829940209,0.8103870256130512
14,13860,0.18230563445073186,0.4384272767437829,0.8264010127746697,0.21977609476982018,0.5120998249604152,0.8275328062130854
15,14850,0.170223375387264,0.42436532059101145,0.845540726606292,0.21452916380686637,0.5078770233117617,0.8333557057380676
16,15840,0.16245677687152468,0.4163607906211506,0.8585564231029664,0.21517343050394303,0.5197753158593789,0.8619454698073559
17,16830,0.15418289013282216,0.4087286258887763,0.8689193222257826,0.2148417885028399,0.5314915916858576,0.8732010026467152
18,17820,0.14763945384007512,0.402233772717341,0.8784944376560173,0.2215653043985367,0.5443692776484367,0.8899873377726628
19,18810,0.14111265345203755,0.393525775363951,0.8889516310258345,0.21360151393291277,0.5320048739359929,0.8884384699968191
20,19800,0.1372166802862076,0.3887538718755799,0.8945000735798267,0.21677891495900276,0.5319028861706073,0.8814193197397086
21,20790,0.13275937702168117,0.382195579433682,0.9024836027260983,0.2130135020078757,0.5324459711404947,0.8930518916937021
22,21780,0.12842905647074335,0.37655907592388116,0.9108958597135062,0.2142853779364855,0.5402170035166618,0.9140087112402304
23,22770,0.1248504605482925,0.37206933173266327,0.9167625653021263,0.20860940216443477,0.5260579496774918,0.8903089131453098
24,23760,0.12148382745005867,0.3677893391161254,0.9224305535205687,0.21009380910641107,0.5336299256789379,0.9008009499158615
25,24750,0.11771199130500205,0.3625062005387412,0.9284102921534066,0.21396568938707694,0.5440707102188698,0.912387032753382
26,25740,0.1147469819645689,0.357320326295766,0.9343429162044717,0.22071894032832903,0.5598627402232244,0.9325850583345462
27,26730,0.11183020812694472,0.3533624030423887,0.9392257779535621,0.2085047730879906,0.5371383012563754,0.9236415492571317
28,27720,0.10977102145552635,0.34989548804181997,0.945221598642041,0.21732102131232237,0.5510947058751033,0.9306024975654407
29,28710,0.10644827072668557,0.34403060716812056,0.9523999701244662,0.21335291804411471,0.5464217309462719,0.9369366796811421
30,29700,0.1042606981414737,0.3406727800766627,0.9576197189514083,0.21608255222821848,0.5526718865908109,0.9406281064106868
